Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	FlyBase cgid gene	FlyBase cgid transcript	FlyBase cgid protein
FBgn0051678	FBtr0081402	FBpp0080932	CG31678	CG31678-RA	CG31678-PA
FBgn0086657	FBtr0081389	FBpp0080919	CG2615	CG2615-RA	CG2615-PA
FBgn0086657	FBtr0081390	FBpp0080920	CG2615	CG2615-RB	CG2615-PB
FBgn0032876	FBtr0081399	FBpp0080929	CG1962	CG1962-RA	CG1962-PA
FBgn0032876	FBtr0081400	FBpp0080930	CG1962	CG1962-RC	CG1962-PC
FBgn0032876	FBtr0081401	FBpp0080931	CG1962	CG1962-RB	CG1962-PB
FBgn0032877	FBtr0081391	FBpp0080921	CG2617	CG2617-RA	CG2617-PA
FBgn0014859	FBtr0081397	FBpp0080927	CG1864	CG1864-RB	CG1864-PB
FBgn0014859	FBtr0081398	FBpp0080928	CG1864	CG1864-RC	CG1864-PC
FBgn0032878	FBtr0081396	FBpp0080926	CG9316	CG9316-RA	CG9316-PA
FBgn0032879	FBtr0081394	FBpp0080924	CG9317	CG9317-RB	CG9317-PB
FBgn0032879	FBtr0081395	FBpp0080925	CG9317	CG9317-RA	CG9317-PA
FBgn0032880	FBtr0081393	FBpp0080923	CG9318	CG9318-RA	CG9318-PA
FBgn0000986	FBtr0081392	FBpp0080922	CG2637	CG2637-RA	CG2637-PA
FBgn0032881	FBtr0081460	FBpp0080989	CG9319	CG9319-RA	CG9319-PA
FBgn0032882	FBtr0081409	FBpp0080939	CG9320	CG9320-RA	CG9320-PA
FBgn0032883	FBtr0081459	FBpp0080988	CG9323	CG9323-RA	CG9323-PA
FBgn0011202	FBtr0081411	FBpp0080941	CG1768	CG1768-RB	CG1768-PB
FBgn0011202	FBtr0081410	FBpp0080940	CG1768	CG1768-RA	CG1768-PA
FBgn0000251	FBtr0081413	FBpp0089336	CG1759	CG1759-RB	CG1759-PB
FBgn0000251	FBtr0081412	FBpp0080942	CG1759	CG1759-RA	CG1759-PA
FBgn0032884	FBtr0081414	FBpp0080943	CG9324	CG9324-RA	CG9324-PA
FBgn0032885	FBtr0089947	FBpp0088886	CG9326	CG9326-RB	CG9326-PB
FBgn0032885	FBtr0089945	FBpp0088884	CG9326	CG9326-RD	CG9326-PD
FBgn0032885	FBtr0089946	FBpp0088885	CG9326	CG9326-RC	CG9326-PC
FBgn0032886	FBtr0081416	FBpp0080945	CG9328	CG9328-RA	CG9328-PA
FBgn0032886	FBtr0081415	FBpp0080944	CG9328	CG9328-RB	CG9328-PB
FBgn0053322	FBtr0081455	FBpp0080984	CG33322	CG33322-RA	CG33322-PA
FBgn0067311	FBtr0081454	FBpp0100172	CG33321	CG33321-RA	CG33321-PA
FBgn0067312	FBtr0081453	FBpp0080982	CG33320	CG33320-RA	CG33320-PA
FBgn0032888	FBtr0081452	FBpp0080981	CG14405	CG14405-RA	CG14405-PA
FBgn0032889	FBtr0081421	FBpp0080950	CG9331	CG9331-RE	CG9331-PE
FBgn0032889	FBtr0081420	FBpp0080949	CG9331	CG9331-RC	CG9331-PC
FBgn0032889	FBtr0081417	FBpp0080946	CG9331	CG9331-RB	CG9331-PB
FBgn0032889	FBtr0081418	FBpp0080947	CG9331	CG9331-RA	CG9331-PA
FBgn0032889	FBtr0081419	FBpp0080948	CG9331	CG9331-RD	CG9331-PD
FBgn0051673	FBtr0081422	FBpp0080951	CG31673	CG31673-RA	CG31673-PA
FBgn0051674	FBtr0081423	FBpp0080952	CG31674	CG31674-RA	CG31674-PA
FBgn0032891	FBtr0081451	FBpp0080980	CG9333	CG9333-RA	CG9333-PA
FBgn0028986	FBtr0081450	FBpp0080979	CG9334	CG9334-RA	CG9334-PA
FBgn0051676	FBtr0081424	FBpp0080953	CG31676	CG31676-RA	CG31676-PA
FBgn0032894	FBtr0081425	FBpp0080954	CG14402	CG14402-RA	CG14402-PA
FBgn0032895	FBtr0081426	FBpp0080955	CG9335	CG9335-RA	CG9335-PA
FBgn0032896	FBtr0081449	FBpp0080978	CG14400	CG14400-RA	CG14400-PA
FBgn0032897	FBtr0081427	FBpp0080956	CG9336	CG9336-RA	CG9336-PA
FBgn0032899	FBtr0081428	FBpp0080957	CG9338	CG9338-RA	CG9338-PA
FBgn0051675	FBtr0081429	FBpp0080958	CG31675	CG31675-RA	CG31675-PA
