orf	E0	E3	L	P	M	F	pvalue	Diffexpr
CG4989-A	0.216847789712212	0.166769716211761	0.163127073136816	0.159988281785368	0.14441173453843	0.148855404615413	0.000113493198724816	FALSE
CG4993-A	0.101919127310646	0.130029227185028	0.158582787033132	0.200027465256351	0.239091817065841	0.170349576149002	0.0175916688484262	FALSE
CG4993-B	0.268071736635252	0.204376946667887	0.127171255906411	0.13808701726298	0.0838392958947101	0.178453747632759	0.0739048671240607	FALSE
CG4994-A	0.148080306122939	0.147545363107089	0.208774334545309	0.133808930528022	0.186155294988754	0.175635770707888	0.00361447495759569	FALSE
CG4994-B	0.15183474720321	0.147213985016939	0.222255417986372	0.133358398547359	0.167732582678269	0.177604868567851	0.0175036491735156	FALSE
CG4996-A	0.216491003088074	0.201592226272854	0.134270958774949	0.164884631624331	0.137825474743821	0.144935705495971	6.40921932289174e-27	TRUE
CG4998-A	0.134493312379439	0.144921156371012	0.217589659367362	0.201633843654481	0.144049193388015	0.157312834839692	1.11362625427681e-19	TRUE
CG4999-B	0.252041295498117	0.209183366814629	0.122741381224937	0.135586939446419	0.129432715331844	0.151014301684054	0.0109354425109737	FALSE
CG5000-A	0.218698620311923	0.192220489606481	0.111661912884933	0.149431231075553	0.139267584228612	0.188720161892499	6.58049360725085e-44	TRUE
CG5001-A	0.133306902130988	0.132106140122483	0.216678395506312	0.159919314534899	0.171399378500404	0.186589869204913	1.48221289362450e-14	TRUE
CG5002-A	0.149272211662053	0.148138966752838	0.213304927609635	0.167689931876088	0.160040560363576	0.16155340173581	4.28958040673526e-23	TRUE
CG5003-A	0.226500825769421	0.223023309452519	0.138907533233279	0.132618401962641	0.1259476360984	0.15300229348374	5.29477110403982e-17	TRUE
CG5004-A	0.191920680367038	0.191186584750771	0.147723273171424	0.162334860973351	0.137995479937506	0.168839120799909	6.64305823850223e-10	TRUE
CG5005-A	0.165558711789337	0.173955667076703	0.154942437611233	0.195701334115084	0.15982516084532	0.150016688562324	1.57032717011261e-10	TRUE
CG5006-A	0.158424693062238	0.162817498650334	0.217168333798753	0.172155420370079	0.152277650239006	0.137156403879591	0.0866455171850107	FALSE
CG5008-A	0.143696829233383	0.135783928912491	0.169999401751052	0.237047124802008	0.139363693463052	0.174109021838015	0.0376166939931706	FALSE
CG5009-A	0.152889775103624	0.144523175573383	0.197769205867207	0.198476860563532	0.146204635287487	0.160136347604766	3.50013703265247e-15	TRUE
CG5010-A	0.140470658001352	0.158527345098699	0.195503594619667	0.168505230604037	0.177306350726269	0.159686820949976	0.0371968130195001	FALSE
CG5011-A	0.105230593168077	0.097511735572196	0.252192822890398	0.112442121953606	0.208547532235746	0.224075194179976	0.008613176710579	FALSE
CG5012-A	0.20696924829082	0.17537701869831	0.207431489828242	0.129963068441489	0.117376050133954	0.162883124607186	1.22965642856302e-08	TRUE
CG5013-A	0.171711289905625	0.223461601498444	0.157449242136712	0.168571842013044	0.136768688616581	0.142037335829593	0.0776338908698148	FALSE
CG5014-B	0.199818942713096	0.210642074730465	0.160129261576393	0.145731729795215	0.113785359394543	0.169892631790287	5.81214963031656e-24	TRUE
